text,label
そうそう\n1次ラウンドでそれが見たいんですよ\n会場もメキシコとかプエルトリコとかベネゼエラとかで ガッツリ時差があって\n日本食なんか逆立ちしても出てこないような辺境での試合が見たいんですよ・・,1
人の遺伝子や才能、信用度などで格付けされ続ける近未来でA判定をもらい続けてた人が転生先の異世界でステータス全部Fになってしまい人は評価システムで測れないことを証明していく話 面白そうではあるもののどうやって証明するのが難しそうではある 努力論と自己責任論で異世界人をバチボコにします,1
なんで中古グッズを元より高い値段で売ろうとするんですかw 多分自分の手垢に価値を感じてるのよ 価値観は人それぞれだもんな,1
「イギリスでは大人は甘いパンを食べない」\n\n日本はジェンダー平等についてイギリスと比べて「40年遅れて」いる、と抜かした大使様だもんで、こーいうセリフも「またか」と感じられてまうな（苦笑  ジャニーの件で追いついたんじゃないかな,1
1970年を下回るって、世界がブルブルした奇跡の高度成長をふいにしたみたいだな。凄いことなってきました。 円安の恩恵をロンドンで享受しています。,1
ひっさしぶりにえぺ起動してシルバー1試合ソロで行ったらVolzzいぶそうさんジョイコンパーティーにやられて速攻やめた\n何がおもろいん？？ レート最高！！！,1
多少目に入る事はありますが、あれで致し方無しだと私は思ってしまうのですよ。\n\n男が全く攻撃されていなければあの方は差別主義者でしょうが\n散々攻撃されてますからね。\n\nあの手の人達が増えても何らおかしくないわけです。\n\nそうならない世の中が理想ですが、難しそうですね。 左様ですか。現実のアンバランスを無視すればそう考えられますね。,1
開幕課金するけどいくらいくとか恥ずかしくて明かせない?? たったそれっぽっちなのにあたかも金持ってます俺的な感じでツイートするの草って意味ですか？👀,1
白レバー美味しかった??\n消化器も良かったけど…これはもういいや????\n\n最後は、ネギトロ10円に惹かれて入ったけど…\nまぁーーー10円のクオリティよ?? １０円とは思えないクオリティ❗,1
あぁ、へずまが炎上させてインプレ稼いで、嫁がやれやれとか言って別口でインプレ稼いでんのか。\nどうしようもねぇ夫婦だな。収入源がTwitterは草,1
ほら?\n\n入寮おめでとうございます！犬飼いぬのハリポタ寮は【スリザリン】です\n\n◆損をしない立ち回りをする\n◆上昇志向が強い\n◆批判されるとむしろ燃える いい性格してるってこと？,1
井川意高さん「告白します 私の性自認は 実は 女性なんです そして性的嗜好は レズビアンで 役割はタチ希望です」\n\n冗談ではなく身体的特徴は男性で「心は女性」のレズビアンも存在するだろ。性行為上やる事は男性と同じやけど。 断根してから言えよ？,1
混ざっちゃった！！\n関西弁彼氏で軽蔑したあとに全肯定の兄になってください 良い趣味してますね,1
BoxFresh質問箱にスパム来てら よかったやんwお前女やし、百合できるやんw,1
「参加費100万、ホテルはシェラトン」森まさこ前首相補佐官台風13号で被災の地元・福島には行かず長女同伴で豪華アメリカツアー参加 シェラトン・ブライダル森！\n\nいやはや、すばらしいですねぇｗ,1
【韓国】日本不買運動の参加者、アシックスの靴を履いて参加 靴までお買い上げいただき誠にありがとうございます。,1
【韓国】日本不買運動の参加者、アシックスの靴を履いて参加 お買上げありがとうございます～♪,1
たぬかな、調べたら、もう30歳やん！\n\nババアやん！\n\n30超えた女に人権はないよ！,1
じゃあ納得しとく やればできるじゃないか なんか腹立つけどありがとう,1
バカやってたらいいよ\n考えたら無駄や 俺はあるかさんおもろいから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから大丈夫だから ディスコもうるさくてXでもうるさいのある意味才能だよふつーに。,1
あのプロスマブラーのドラ右さんとまさかのマッチング??\nめちゃくちゃ強くてとっても楽しかったです??\n対戦ありがとうございました！ あの元ムラゲのプロスマブラーのモツナベさんさすがです！😳\nプロ契約の方どうされちゃったんですか？😹 本当に何も知らない人たちがただ叩きたいからという理由だけで俺を叩いてることを証明してくれてありがとう‼️,1
逐一、言わなくていいよ。 キミも変わったね〜,1
塾の先生から少し早いお誕生日プレゼント頂きました??ありがとうございます?? 指定校推薦獲得祝いかな？,1
そもそも夫がDVをしたのかはっきりしてません。\n福原愛ともども不倫のために「子連れ別居」をする親は決してまれではないという事実を世間に知らしめたという意味では、＃共同親権 推進の世論作りに一役買った功労者？かもしれません。,1
我々の希望を完全に打ち砕く騎手コメント。逆に天晴です。 反省のコメント出した弟の方が未だ救いが有りますね。\n戦力外通告の無い優しい競馬界。,1
立花さん、よく人から言われた言葉を直ぐに使いますよね\n\n「共謀共同正犯」…ガーシー関連で何かあったのかな？\n\n「禁反言の原則」…裁判の最中、相手の弁護士に言われたのかな？\n\n「特別代理人」…得意げに党から任命されましたと話してましたね 禁反言…前言を翻してはならない\n\nこれ立花さんがいちばん苦手なやつじゃ？😅,1
天皇賞・秋の予想を公開しました。展覧競馬に相応しい、最高の競馬を。\n天皇賞・秋の予想☆ - とあるオタクの競馬日記 はい誤字 ホンマや。さすがそういうとこだけ早いな,1
